Function,Instruction,Count,Weight,Score
fill,load,9,2.0,18.0
fill,br,8,1.0,8.0
fill,store,6,3.0,18.0
fill,add,4,1.0,4.0
fill,alloca,3,1.0,3.0
fill,getelementptr,2,2.0,4.0
fill,icmp,2,1.0,2.0
fill,sext,2,1.0,2.0
fill,mul,1,3.0,3.0
fill,ret,1,1.0,1.0
sum_diagonal,load,7,2.0,14.0
sum_diagonal,br,4,1.0,4.0
sum_diagonal,store,4,3.0,12.0
sum_diagonal,add,2,1.0,2.0
sum_diagonal,alloca,2,1.0,2.0
sum_diagonal,getelementptr,2,2.0,4.0
sum_diagonal,sext,2,1.0,2.0
sum_diagonal,icmp,1,1.0,1.0
sum_diagonal,ret,1,1.0,1.0
main,call,3,10.0,30.0
main,alloca,1,1.0,1.0
main,ret,1,1.0,1.0
main,store,1,3.0,3.0
